StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,50:07.0,0.0024,1.27,-0.3267,-27.8931,-53.894,-105.0415,107.4573,16.6937,51.9818,0
0x50,50:07.1,0.2119,1.2637,-0.3672,-26.001,-51.7578,-117.6147,106.8311,18.891,51.7566,0
0x50,50:07.1,0.0464,1.3838,-0.4414,-27.2217,-55.9692,-133.9111,106.2158,21.4069,51.5314,0
0x50,50:07.1,0.1489,1.4624,-0.5269,-30.5176,-100.4639,-138.916,105.2765,24.2139,50.592,0
0x50,50:07.1,0.4067,1.5713,-0.6001,-33.4473,-128.7231,-141.3574,103.9581,27.1198,48.9441,0
0x50,50:07.1,0,1.6377,-0.5737,-36.0107,-126.709,-148.9258,102.3981,30.1904,47.0709,0
0x50,50:07.2,0.2266,1.4897,-0.5073,-56.6406,-124.939,-135.6201,100.3711,32.9755,45.0769,0
0x50,50:07.2,-0.0254,1.1743,-0.3237,-48.2788,-70.8008,-133.9722,98.7067,35.5023,43.8739,0
0x50,50:07.2,-0.104,0.8062,-0.248,-39.7339,-31.25,-119.6899,97.7124,37.7051,43.5498,0
0x50,50:07.2,-0.1724,0.4307,-0.1831,-18.7988,-14.4653,-93.2617,97.3608,39.4849,43.5608,0
0x50,50:07.2,-0.1675,0.6694,-0.1836,-0.3052,5.3101,-47.7905,97.5751,40.3748,43.9673,0
0x50,50:07.3,0.2554,0.4697,0.0347,-16.6626,-3.1128,19.5313,97.4323,39.6606,44.3024,0
0x50,50:07.3,0.2729,0.3428,0.0947,-7.5073,28.8696,66.5894,97.5146,37.6721,45.0549,0
0x50,50:07.3,0.0332,0.4731,0.0508,2.7466,36.6821,105.2856,97.8223,35.1013,45.9723,0
0x50,50:07.3,0.0957,0.6001,0.0986,1.0986,18.3105,148.0713,97.8497,31.8054,46.4392,0
0x50,50:07.4,0.1133,0.6177,0.1382,4.6997,24.0479,178.833,97.8168,27.8448,46.7963,0
0x50,50:07.4,0.0327,0.772,0.063,11.1694,46.0815,200.5615,98.0475,23.4888,47.417,0
0x50,50:07.4,-0.1943,0.8906,-0.0444,14.7705,66.2231,221.3745,98.4869,18.88,48.2355,0
0x50,50:07.4,-0.2612,0.9355,-0.0728,17.2729,82.3364,236.3281,99.0143,14.024,49.2023,0
0x50,50:07.4,-0.2476,1.0483,-0.1064,21.7896,108.0322,242.0654,99.624,8.9813,50.4932,0
0x50,50:07.4,-0.3794,1.1475,-0.1558,24.8413,119.5068,242.3706,100.2448,3.9386,51.8994,0
0x50,50:07.5,-0.4419,1.2529,-0.2524,18.8599,108.2153,242.2485,100.7172,-1.0107,53.02,0
0x50,50:07.5,-0.4434,1.2798,-0.3833,11.7798,93.75,245.3003,101.0303,-5.9271,53.7341,0
0x50,50:07.5,-0.5068,1.3569,-0.48,10.9863,80.2002,243.9575,101.3324,-10.7446,54.0692,0
0x50,50:07.5,-0.4458,1.395,-0.48,10.0708,56.3354,239.1357,101.673,-15.3699,53.9209,0
0x50,50:07.6,-0.3735,1.375,-0.4795,18.2495,43.6401,225.4028,102.2168,-19.693,53.4375,0
0x50,50:07.6,-0.5405,1.3794,-0.4326,30.7617,30.5176,203.6743,103.1232,-23.4943,52.619,0
0x50,50:07.6,-0.7412,1.3936,-0.2681,41.8091,-1.709,178.4668,104.5239,-26.5649,51.1523,0
