StartTime: 2021-08-05 11:43:50.371,,,,,,,,,,,
address,Time(s),ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),T(°) 
0x50,12:38.4,0.3574,0.8999,-0.1953,0.4883,3.9063,-2.1973,101.5356,-20.8685,101.4478,0
0x50,12:38.4,0.3501,0.8877,-0.1729,0.4272,4.2725,-1.5259,101.5137,-20.8521,101.4532,0
0x50,12:38.4,0.354,0.8916,-0.1509,0.3052,3.479,0,101.4807,-20.8466,101.4642,0
0x50,12:38.4,0.3467,0.9116,-0.1592,-0.1221,0.9155,0.9766,101.4423,-20.8685,101.4532,0
0x50,12:38.4,0.3477,0.9243,-0.1733,-0.9155,-2.3804,1.4648,101.4203,-20.885,101.3818,0
0x50,12:38.5,0.355,0.9321,-0.1836,-1.4648,-5.188,1.2817,101.4203,-20.8905,101.2335,0
0x50,12:38.5,0.3545,0.9238,-0.187,-1.1597,-4.6387,0.4272,101.4258,-20.8905,101.0468,0
0x50,12:38.5,0.3555,0.9077,-0.1826,-0.8545,-2.9297,0.3662,101.4368,-20.8795,100.8765,0
0x50,12:38.5,0.3447,0.9185,-0.1724,-0.9155,-2.6245,1.0376,101.4423,-20.874,100.7391,0
0x50,12:38.5,0.3315,0.9282,-0.1787,-1.3428,-4.0283,1.9531,101.4368,-20.8795,100.6073,0
0x50,12:38.6,0.3628,0.9214,-0.1816,-1.6479,-6.6528,2.5635,101.4423,-20.885,100.426,0
0x50,12:38.6,0.3628,0.9175,-0.188,-1.3428,-5.249,2.3193,101.4587,-20.9125,100.2173,0
0x50,12:38.6,0.3652,0.9175,-0.186,-0.4883,-2.3804,1.3428,101.4752,-20.9399,100.0415,0
0x50,12:38.6,0.376,0.9072,-0.1782,-0.3052,-1.8311,0.6714,101.4807,-20.9619,99.9207,0
0x50,12:38.6,0.3774,0.8975,-0.1802,-0.3052,-1.2817,0.3052,101.4862,-20.9784,99.8218,0
0x50,12:38.7,0.3711,0.8994,-0.1738,-0.1831,0.3662,-0.1221,101.4807,-20.9949,99.7394,0
0x50,12:38.7,0.3862,0.9087,-0.1885,-0.061,2.2583,-0.7324,101.4642,-21.0059,99.6899,0
0x50,12:38.7,0.3643,0.9038,-0.1978,0.4272,4.2725,-1.3428,101.4478,-21.0168,99.6844,0
